Name,Rechtsform,Land,PLZ,Ort,Straße,HR Amtsgericht,Register-ID,Status,North Data URL,Tel.,Fax,E-Mail,Website,USt.-Id.,Eintragung,Eintragung Datum,Branche (WZ),Ges. Vertreter 1,Ges. Vertreter 2,Ges. Vertreter 3,Gegenstand,Tickers,Finanzkennzahlen Datum,Stamm-/Grundkapital EUR,Bilanzsumme EUR,Gewinn EUR,Gewinn CAGR %,Umsatz EUR,Umsatz CAGR %,Umsatzrendite %,Eigenkapital EUR,EK-Quote %,EK-Rendite %,Mitarbeiterzahl,Umsatz pro Mitarbeiter EUR,Steuern EUR,Steuer-Quote %,Kassenbestand EUR,Forderungen EUR,Verbindlichkeiten EUR,Materialaufwand EUR,Personalaufwand EUR,Personalaufwand pro Mitarbeiter EUR,Pensionsrückstellungen EUR,Immobilien und Grundstücke EUR,Mktg&Tech Bezugszeitraum,Anzahl Förderungen pro Jahr,Gesamtfördersumme pro Jahr EUR,Patente pro Jahr,Marken pro Jahr
Schöttler Immobilien e. K.,e. K.,DE,44263.0,Dortmund,Hafenpromenade 3 A,Dortmund,HRA 18007,aktiv,"https://www.northdata.de/Sch%C3%B6ttler%20Immobilien%20e%C2%B7%20K%C2%B7,%20Dortmund/HRA%2018007",+49 23147739920,,info@schoettler-immobilien.com,,,Eintragung,12.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schöttler, Stefan Wolfgang",,,Die Vermittlung von Kauf- und Mietverträgen über Immobilien und Darlehensverträgen sowie der Nachweis der Gelegenheit zum Abschluss solcher Verträge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemens Amberg Consult e. K.,e. K.,DE,29575.0,Altenmedingen,Edendorfer Weg 15,Lüneburg,HRA 202231,aktiv,"https://www.northdata.de/Clemens%20Amberg%20Consult%20e%C2%B7%20K%C2%B7,%20Altenmedingen/Amtsgericht%20L%C3%BCneburg%20HRA%20202231",+49 5821976919,+49 5821976921,amberg@cbh-h.de,,,Eintragung,13.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Amberg, Clemens","Beyer, Christine",,"Projekt- und Immobilienentwicklung, die Tätigkeit als Immobilienmakler und die Beratung in Immobilienangelegenheiten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Fischer Consulting UG,UG,DE,99084.0,Erfurt,Große Arche 7,Jena,HRB 510978,aktiv,"https://www.northdata.de/Dr%C2%B7%20Fischer%20Consulting%20UG,%20Erfurt/Amtsgericht%20Jena%20HRB%20510978",,,,,,Eintragung,16.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Fischer, Werner",,,"Unternehmensberatung, Baubetreuer, Bauträgertätigkeit betreffend Wohnhäuser, Eigentumswohnungen und Gewerbeobjekten, deren Vermarktung, Vermietung und Verwaltung sowie Vermittlung und Vermarktung von bebauten und unbebauten Grundstücken",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Sportwetten-Vermittlungs UG,UG,DE,33415.0,Verl,Chromstr. 88,Gütersloh,HRB 9995,erloschen,"https://www.northdata.de/11%C2%B7%20Sportwetten-Vermittlungs%20UG,%20Verl/Amtsgericht%20G%C3%BCtersloh%20HRB%209995",,,,,,Eintragung,11.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Lücke, Jochen",,,Das Betreiben von Annahmestellen zur Vermittlung von Sportwetten und / oder der Erwerb und die Verwaltung von Beteiligungen an Gesellschaften mit gleichartigem Gegenstand.,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AFI UG,UG,DE,44653.0,Herne,Heerstr. 74,Bochum,HRB 15337,erloschen,"https://www.northdata.de/AFI%20UG,%20Herne/Amtsgericht%20Bochum%20HRB%2015337",,,,,,Eintragung,12.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Heinzmann, Rene",,,Gegenstand des Unternehmens ist die Vermittlung von Immobilien.,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmalhorst Vermögensverwaltung und Service UG,UG,DE,33818.0,Leopoldshöhe,Lortzingstr. 25,Lemgo,HRB 8489,erloschen,"https://www.northdata.de/Schmalhorst%20Verm%C3%B6gensverwaltung%20und%20Service%20UG,%20Leopoldsh%C3%B6he/Amtsgericht%20Lemgo%20HRB%208489",,,,,,Eintragung,17.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schmalhorst, Hagen",,,"An- und Verkauf von Immobilien und deren Betrieb. Ferner die Instandhaltung, Renovierung und der Neubau von Immobilien sowohl für eigene als auch fremde Rechnung.",,31.12.2018,1.0,"2.027,05","-401,66",,1.500,"15,38","-26,78","-2.027,05",-100,,,,,,,,"1.587,05",,,,,,31.12.2018,,,,
MeMoWo-Duisburg UG,UG,DE,47249.0,Duisburg,Zillertaler Str. 5,Duisburg,HRB 27268,erloschen,"https://www.northdata.de/MeMoWo-Duisburg%20UG,%20Duisburg/HRB%2027268",,,,,,Eintragung,17.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Ulmer, Jan Hendrik",,,Die Vermietung und Vermarktung möblierten Wohnraums sowie der Handel mit Non-Food-Artikeln und dem damit zusammenhängenden Im- und Export.,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pro immobilien e. K.,e. K.,DE,52525.0,Heinsberg,Unterbrucher Str. 2 b,Aachen,HRA 8591,erloschen,"https://www.northdata.de/pro%20immobilien%20e%C2%B7%20K%C2%B7,%20Heinsberg/Amtsgericht%20Aachen%20HRA%208591",,,,,,Eintragung,18.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Nordheimer, Irina",,,"Gegenstand des Geschäfts ist die Bewirtschaftung von Immobilien, die Mietsverwaltung, die Verwaltung von Wohnungs- und Teileigentum (Sondereigentum), die Abrechnung von Betriebskosten sowie die Vermittlung des Abschlusses und der Nachweis von Gelegenheiten zum Abschluss von Verträgen über Darlehen sowie Grundstücke, grundstücksgleicher Rechte, Wohnräume und gewerblicher Räume.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEASTART Deutschland UG,UG,DE,10719.0,Berlin,Kurfürstendamm 21,Charlottenburg (Berlin),HRB 165026 B,in Liquidation,"https://www.northdata.de/IDEASTART%20Deutschland%20UG,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20165026%20B",,,,,,Eintragung,18.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,"Der Betrieb einer Unternehmensberatung für kleine und mittlere Unternehmen, der Betrieb eines Maklerbüros für Immobilien sowie der lm- und Export von Kraftfahrzeugen. Ferner ist Gegenstand des Unternehmens der Erwerb, die Veräußerung sowie die Vermietung und Verwaltung von Grundstücken.",,31.12.2018,2.0,"93.695,72","-7.658,74",,1.200.000,"75,41","-0,64","-7.527,57","-8,03",,2.0,600.000,,,"51.356,44","34.117,96","86.893,76",,,,,,31.12.2018,,,,
Thonfeld Immobilien e. K.,e. K.,DE,24944.0,Flensburg,Fördepromenade 4 a,Flensburg,HRA 8527 FL,aktiv,"https://www.northdata.de/Thonfeld%20Immobilien%20e%C2%B7%20K%C2%B7,%20Flensburg/HRA%208527%20FL",+49 46131552550,,christoph@thonfeld-immobilien.de,https://www.thonfeld-immobilien.de,DE298269683,Eintragung,24.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Thonfeld, Christoph",,,"Gegenstand des Unternehmens ist die Vermittlung von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume oder Wohnräume.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Vista Immobilien UG,UG,DE,37073.0,Göttingen,Goethe-Allee 2,Göttingen,HRB 204528,aktiv,"https://www.northdata.de/Bella%20Vista%20Immobilien%20UG,%20G%C3%B6ttingen/HRB%20204528",,,,,,Eintragung,24.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Heise, Carola",,,"Immobilienberatung, Immobiliensanierung, Immobilienrenovierung, Immobilienvermarktung (eigene Objekte) sowie alle damit verbundenen Geschäfte und Tätigkeiten.",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmopol OHG,OHG,DE,66111.0,Saarbrücken,Futterstr. 16,Saarbrücken,HRA 11771,in Liquidation,"https://www.northdata.de/Cosmopol%20OHG,%20Saarbr%C3%BCcken/HRA%2011771",+49 6819821568,+49 6819821569,eg@cosmopolimmobilien.de,http://www.cosmopolimmobilien.de,,Eintragung,25.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Gottlaß, Elisabeth Hildegard","Hentz, Matthieu",,Handel mit und Vermietung von Immobilien sowie Mediation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbjung e. K.,e. K.,DE,56850.0,Enkirch,Großbachtal 39,Wittlich,HRA 41009,aktiv,"https://www.northdata.de/mbjung%20e%C2%B7%20K%C2%B7,%20Enkirch/Amtsgericht%20Wittlich%20HRA%2041009",+49 65418183860,+49 65418183861,info@mbjung.de,https://www.mbjung.de,DE294657464,Eintragung,26.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Jung, Marco Bodo",,,"Gegenstand des Unternehmens ist Maklertätigkeit nach § 34c GewO, Immobilienverwaltung sowie Organisation/Koordinierung Haustechnik.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidsohn Hausverwaltung Zehnte UG,UG,DE,46145.0,Oberhausen,Dorstener Str. 313,Duisburg,HRB 27287,erloschen,"https://www.northdata.de/Davidsohn%20Hausverwaltung%20Zehnte%20UG,%20Oberhausen/Amtsgericht%20Duisburg%20HRB%2027287",,,,,,Eintragung,24.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Lang, Iouliana",,,Verwaltung von Immobilien und grundstücksgleichen Rechten.,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Meyer e. K.,e. K.,DE,26180.0,Rastede,Anton-Günther-Str. 5,Oldenburg,HRA 204383,erloschen,"https://www.northdata.de/Felix%20Meyer%20e%C2%B7%20K%C2%B7,%20Rastede/Amtsgericht%20Oldenburg%20HRA%20204383",,,,,,Eintragung,24.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Meyer, Felix",,,Vermittlung von Immobilien aller Art zum Verkauf sowie zur Vermietung und Verpachtung.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immobilien Podium Maria Niermeier e. K.,e. K.,DE,35578.0,Wetzlar,Silhöfer Str. 13,Wetzlar,HRA 7522,erloschen,"https://www.northdata.de/Immobilien%20Podium%20Maria%20Niermeier%20e%C2%B7%20K%C2%B7,%20Wetzlar/HRA%207522",,,,,DE299122678,Eintragung,27.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Niermeier, Maria Felicitas",,,"Immobilienvermittlung, Home Staging und Home Styling Beratung.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Brockmann Immobilien e. K.,e. K.,DE,58730.0,Fröndenberg,Eichendorffstr. 2,Hamm,HRA 3925,erloschen,"https://www.northdata.de/Christian%20Brockmann%20Immobilien%20e%C2%B7%20K%C2%B7,%20Fr%C3%B6ndenberg/Amtsgericht%20Hamm%20HRA%203925",,,,,,Eintragung,27.02.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Brockmann, Christian",,,"Maklerunternehmen zwecks Vermittlung des Abschlusses und Nachweises der Gelegenheit zum Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte sowie Wohnräume und gewerbliche Räume gem. § 34 c Gewerbeordnung.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stapf Immobilien e. K.,e. K.,DE,87629.0,Füssen,Von-Freyberg-Str. 9,Kempten,HRA 9971,erloschen,"https://www.northdata.de/Stapf%20Immobilien%20e%C2%B7%20K%C2%B7,%20F%C3%BCssen/Amtsgericht%20Kempten%20HRA%209971",,,,,DE230620378,Eintragung,03.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Stapf, Manfred",,,Die Verwaltung und Vermittlung von Immobilien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Elbers Immobilien Management e. K.,e. K.,DE,40627.0,Düsseldorf,Reichenbacher Weg 88 A,Düsseldorf,HRA 23305,aktiv,"https://www.northdata.de/Dirk%20Elbers%20Immobilien%20Management%20e%C2%B7%20K%C2%B7,%20D%C3%BCsseldorf/HRA%2023305",+49 21141663903,,,,,Eintragung,03.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Elbers, Dirk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real House Immobilien e. K.,e. K.,DE,50737.0,Köln,Hedwig-Pohlschröder-Str. 11,Köln,HRA 31088,aktiv,"https://www.northdata.de/Real%20House%20Immobilien%20e%C2%B7%20K%C2%B7,%20K%C3%B6ln/HRA%2031088",+49 22193282830,+49 22193282832,info@realhouse-immobilien.de,https://realhouse-immobilien.de,DE296445292,Eintragung,03.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Tas, Sibel",,,Der Betrieb eines Immobilienunternehmens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornelia Richter Immobilien UG,UG,DE,14641.0,Nauen,Am Dorfanger 5,Potsdam,HRB 27761,aktiv,"https://www.northdata.de/Cornelia%20Richter%20Immobilien%20UG,%20Nauen/Amtsgericht%20Potsdam%20HRB%2027761",,,,,,Eintragung,05.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Richter, Cornelia Ute Ruth",,,Gegenstand des Unternehmens ist Handelsvertretertätigkeit von Cornelia Richter für die Firma Engel & Völkers sowie die Vornahme aller diesem Zweck förderlichen Maßnahmen und Rechtsgeschäfte.,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INVESGO e. K.,e. K.,DE,32339.0,Espelkamp,Potsdamer Str. 2,Bad Oeynhausen,HRA 8776,aktiv,"https://www.northdata.de/INVESGO%20e%C2%B7%20K%C2%B7,%20Espelkamp/Amtsgericht%20Bad%20Oeynhausen%20HRA%208776",+49 57727404,+49 57727401,info@invesgo.de,https://www.invesgo.de,,Eintragung,09.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Brettschneider, Christian",,,"Planung und Realisierung von Projekten jeglicher Art, insbesondere Objektentwicklung in Zusammenhang mit der Vermarktung von Immobilien. Die Tätigkeit beschränkt sich auf solche Geschäfte, die nicht öffentlich-rechtlich genehmigungspflichtig sind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Global Consulting UG,UG,DE,77815.0,Bühl,Am Dreschschopf 1,Mannheim,HRB 721690,aktiv,"https://www.northdata.de/Leonardo%20Global%20Consulting%20UG,%20B%C3%BChl/Amtsgericht%20Mannheim%20HRB%20721690",+49 15209443904,,,https://www.vastuandmore.com,DE298803367,Eintragung,11.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Burger, Johann Josef","Gufler, Valeria",,"ist der An- und Verkauf von Grundstücken, Immobilienhandel, die Vermittlung von Bauleistungen und Baudienstleistungen, die Konzeptionierung und Projektentwicklung im Immobilienbereich, die Baubegleitung, die Vermittlung und Verwaltung von Immobilien, die weltweite Beratung von Unternehmen sowie der weltweite Handel mit Waren jeder Art, - ausgenommen aber solcher Waren, deren Handel einer Genehmigung oder Erlaubnis bedarf -, insbesondere der Handel mit Fertighäusern, Baustoffen, Möbeln, Gebäudeelementen, Kunsthandwerk, Geschenkartikeln, Lebensmitteln sowie Nahrungsergänzungsmitteln und Hautpflegeprodukten.",,31.12.2019,540.0,"63.240,72","35.855,38","219,27",1.500.000,"58,11","2,39","42.905,14","67,84","83,57",,,,,"4.174,17","51.703,55","14.224,11",,,,,,31.12.2019,,,,
KE Immobilien UG,UG,DE,63834.0,Sulzbach a. Main,Kübler Ring 63,Aschaffenburg,HRB 13220,in Liquidation,"https://www.northdata.de/KE%20Immobilien%20UG,%20Sulzbach%20a%C2%B7%20Main/Amtsgericht%20Aschaffenburg%20HRB%2013220",,,,,,Eintragung,11.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Ebadi, Khalid",,,"Vermittlung und Vermarktung von Immobilien, von Dienstleistungen im Zusammenhang mit Immobilien und insbesondere Sanierungsarbeiten, die Erbringung von Dienstleistungen im Telekommunikationsbereich sowie kaufmännische Beratung.",,31.12.2022,1.0,5.000,,,3.300,"-46,74",,"-2.907,04","-58,14",,,,,,,,,,,,,,31.12.2022,,,,
Baronesse Immobilien e. K.,e. K.,DE,48165.0,Münster,Meesenstiege 54 a,Münster,HRA 10021,erloschen,"https://www.northdata.de/Baronesse%20Immobilien%20e%C2%B7%20K%C2%B7,%20M%C3%BCnster/HRA%2010021",,,,,,Eintragung,09.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Möller, Bettina",,,Vermittlung von Immobilien aller Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruhlmann Immobilien e. K.,e. K.,DE,42389.0,Wuppertal,Schwelmer Str. 53,Wuppertal,HRA 24059,erloschen,"https://www.northdata.de/Ruhlmann%20Immobilien%20e%C2%B7%20K%C2%B7,%20Wuppertal/HRA%2024059",,,,,,Eintragung,09.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Ruhlmann, Nadine Margitta",,,"Gegenstand des Unternehmens ist die Verwaltung von vermieteten Wohnhäusern, Wohnanlagen, Eigentumswohnungen und Gewerbeobjekten sowie der Nachweis oder Vermittlung von Vertragsabschlussmöglichkeiten über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume und Wohnräume.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs. & Cs. Invest UG,UG,DE,6184.0,Kabelsketal,Orionstr. 1,Stendal,HRB 21688,erloschen,"https://www.northdata.de/Cs%C2%B7%20&%20Cs%C2%B7%20Invest%20UG,%20Kabelsketal/Amtsgericht%20Stendal%20HRB%2021688",,,,,,Eintragung,10.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,"Die Vermögensverwaltung, insbesondere der Erwerb, die Veräußerung und das Halten von Beteiligungen aller Art, Erwerb und Veräußerung von Grundstücken und Immobilien, deren Vermietung sowie die Übernahme der Stellung einer persönlich haftenden Gesellschafterin in Kommanditgesellschaften mit gleichem Unternehmensgegenstand. Das Unternehmen verwaltet ausschließlich eigenes Vermögen auf eigenes Risiko. Die Vermögensverwaltung für fremde Dritte oder Rechtsgeschäfte, die nach dem KWG erlaubnispflichtig sind, sind ausgeschlossen.",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferienhausvermietung Maxenstein UG,UG,DE,9429.0,Wolkenstein,Turnerstr. 13,Chemnitz,HRB 29458,erloschen,"https://www.northdata.de/Ferienhausvermietung%20Maxenstein%20UG,%20Wolkenstein/Amtsgericht%20Chemnitz%20HRB%2029458",,,,,,Eintragung,11.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Lange, Robert",,,Betrieb einer Anlage von Ferienwohnungen und Ferienhäusern auf dem im Grundbuch des Amtsgerichts Marienberg Gemarkung Wolkenstein Flurstück Nr. 45 eingetragenen Grundstücks sowie Betreuung von Gästen.,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximilian E. Schmitt e. K.,e. K.,DE,76530.0,Baden-Baden,Lange Str. 6,Mannheim,HRA 706143,aktiv,"https://www.northdata.de/Maximilian%20E%C2%B7%20Schmitt%20e%C2%B7%20K%C2%B7,%20Baden-Baden/Amtsgericht%20Mannheim%20HRA%20706143",+49 15151625871,,,https://www.boutique-charme.de/de/,,Eintragung,17.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schmitt, Maximilian Emanuel",,,"Die Vermittlung von Immobilien aller Art einschließlich der Baubetreuung gem. § 34c Abs. 1 GewO; die Beratung, Betreuung von Objekten/Projekten/Maßnahmen; die Konzeptentwicklung und die Erarbeitung von Lösungsvorschlägen; die Evaluierung von Bezugsquellen, Dienstleistungen im Zusammenhang mit Ein- und Verkauf sowie dessen Durchführung; die Durchführung von Schulungen und Trainingsmaßnahmen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schieszer Immobilien e. K.,e. K.,DE,40231.0,Düsseldorf,Frankensteinerstr. 17,Düsseldorf,HRA 23324,aktiv,"https://www.northdata.de/Schieszer%20Immobilien%20e%C2%B7%20K%C2%B7,%20D%C3%BCsseldorf/HRA%2023324",+49 21193897698,+49 21193897699,info@schieszer-immobilien.de,https://www.schieszer-immobilien.de,,Eintragung,23.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schieszer Omer, Zevget Senyildiz","Gherghinescu, Daniel Ionel",,"Vermittlung (Maklertätigkeit) und Verwaltung von Immobilien und Grundstücken, einschließlich aller damit verbundenen Dienstleistungen, sowie Handel mit Immobilien und Grundstücken.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novalis Invest Neunte UG,UG,DE,4357.0,Leipzig,Friedrichshafner Str. 72,Leipzig,HRB 31243,erloschen,"https://www.northdata.de/Novalis%20Invest%20Neunte%20UG,%20Leipzig/HRB%2031243",,,,,,Eintragung,12.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Bückmann, Sven Werner",,,An- und Verkauf von Immobilien,,31.12.2018,25.002,"565.555,23","-760.169,61",,1.000.000,"-28,19","-76,02","306.767,86","54,24","-247,80",,,,,"84.033,35","23.215,56","249.888,08",,,,,,31.12.2018,,,,
H.E.R.Z. Immobilien & Bauconsult UG,UG,DE,65183.0,Wiesbaden,Grabenstr. 11,Wiesbaden,HRB 28260,erloschen,"https://www.northdata.de/H%C2%B7E%C2%B7R%C2%B7Z%C2%B7%20Immobilien%20&%20Bauconsult%20UG,%20Wiesbaden/HRB%2028260",,,,,,Eintragung,18.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Krause, Mathias",,,"Die Vermittlung von Miet- und Kaufverträgen sowie Beteiligung an Wohn- und Gewerbeimmobilien, der Vertrieb von Bauelementen sowie Fertighäusern. Tätigkeiten nach § 34 c GewO werden ausgeführt, Tätigkeiten nach § 34 c I 3. GewO werden nicht ausgeführt.",,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolo Immobilien e. K.,e. K.,DE,90473.0,Nürnberg,Namslauer Str. 3,Nürnberg,HRA 17158,erloschen,"https://www.northdata.de/Metropolo%20Immobilien%20e%C2%B7%20K%C2%B7,%20N%C3%BCrnberg/HRA%2017158",,,,,,Eintragung,18.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Haas, Werner",,,Immobilienmakler-Tätigkeiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fröbe/Reinhardt OHG,OHG,DE,7743.0,Jena,Schillbachstr. 25,Jena,HRA 503691,erloschen,"https://www.northdata.de/Fr%C3%B6be%2FReinhardt%20OHG,%20Jena/HRA%20503691",,,,,,Eintragung,18.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Fröbe, Wolf-Dietrich","Reinhardt, Thomas",,Entwicklung von Immobilien und Makler- sowie Bauträgertätigkeit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAG - Finanz- und Immobiliencenter Köln UG,UG,DE,51107.0,Köln,Eiler Str. 106,Köln,HRB 83871,erloschen,"https://www.northdata.de/VAG%20-%20Finanz-%20und%20Immobiliencenter%20K%C3%B6ln%20UG,%20K%C3%B6ln/HRB%2083871",,,,,,Eintragung,18.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,"- Nachweis und Vermittlung von Kauf-, Miet- und Darlehensverträgen im Zusammenhang mit Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume oder Wohnräume. (Immobilienmakler und Darlehensvermittler im Sinne des § 34 c GeWO) sowie die Haus- und Vermögensverwaltung. - Die Gesellschaft kann Rechte, Lizenzen und Patente erwerben, veräußern und vermitteln, sich an anderen Unternehmungen beteiligen sowie im In- und Ausland Grundstücke erwerben, halten und veräußern ?",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrierte Immobilien Dienstleistungen Südbayern (IID Südbayern) UG,UG,DE,83457.0,Bayerisch Gmain,Untersbergstr. 14,Traunstein,HRB 24243,erloschen,"https://www.northdata.de/Integrierte%20Immobilien%20Dienstleistungen%20S%C3%BCdbayern%20(IID%20S%C3%BCdbayern)%20UG,%20Bayerisch%20Gmain/Amtsgericht%20Traunstein%20HRB%2024243",,,,,,Eintragung,19.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Pichler, Arno",,,Betrieb einer Website (lnternetportal für regionale Immobilienangebote); Heizkostenabrechnungsservice und Wärmemessdienst.,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
immobilien-cube.berlin UG,UG,DE,12459.0,Berlin,Wilhelminenhofstr. 42 B,Charlottenburg (Berlin),HRB 165706 B,erloschen,"https://www.northdata.de/immobilien-cube%C2%B7berlin%20UG,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20165706%20B",,,,,,Eintragung,19.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Hoffmann, Guido",,,"Die Tätigkeit als Immobilienmakler sowie die Erbringung von Unterstützungsleistungen im Zusammenhang mit der Planung, der Errichtung, dem Erwerb sowie der An- und Vermietung von Immobilien und grundstücksähnlicher Rechte im In- und Ausland. Diese Tätigkeit beinhaltet dabei auch sämtliche Facetten des Gebäudeservices im Immobilienbereich ?",,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ConataXX Immobilien UG,UG,DE,6774.0,Muldestausee,Krinaer Str. 2,Stendal,HRB 21743,erloschen,"https://www.northdata.de/ConataXX%20Immobilien%20UG,%20Muldestausee/Amtsgericht%20Stendal%20HRB%2021743",,,,,,Eintragung,23.03.2015,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Friedrich, Matthias",,,Die Immobilienvermittlung.,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
